TweedieRegressor;6;1;2;565;[ 2  4  8 12 19];['S03' 'S06' 'S11' 'S16' 'S24'];0.729506191659104;-0.979549961902195;-1038.55666538048;-0.167432202757519;0.613470004562948;-0.900613248455302;-778.403363228528;-0.437632735530331;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;6;2;5;1985;[11 17 18 22 24];['S15' 'S22' 'S23' 'S27' 'S30'];-20.1034981367708;-1.65073847750813;-1109.63793056593;-1.25212988766358;0.752633795563525;-1.34634514389294;-982.08530592165;-0.429124798696894;71;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_18µm_allseasons_222', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;6;3;3;838;[ 1 13 15 16 21];['S02' 'S17' 'S20' 'S21' 'S26'];0.632996596787496;-0.610146338679456;-659.753857155611;-0.569647921674232;0.902358931675866;-0.640338231489545;-990.786117146449;-0.343779529965418;78;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'SED_D50'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;6;4;1;557;[ 3  9 10 20 25];['S04' 'S13' 'S14' 'S25' 'S31'];0.731917690049634;-2.04591872402014;-540.335113757007;-0.308058787774804;0.792095977458468;-0.869694036553414;-1356.42179071844;-0.496320283398897;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;7;0;3;641;[ 1  5  9 11 12 17];['S02' 'S07' 'S13' 'S15' 'S16' 'S22'];0.704706126499891;-0.86983224082312;-1155.58047841594;-0.37542267155029;0.564081004080337;-1.19269589144649;-1076.72248977035;-0.716528437605481;63;['Depth', 'WWTP_influence_as_mean_time_travelled__sed_18µm_autumn_222', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;7;1;5;1606;[ 0  2 13 23 25];['S01' 'S03' 'S17' 'S29' 'S31'];0.0179151632616823;-0.44130164356053;-1589.53720786723;-0.4082382245707;0.83104396805492;-0.72056673836069;-754.228610923753;-0.440945389063786;42;['WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;7;2;4;802;[ 6 16 18 20 24];['S08' 'S21' 'S23' 'S25' 'S30'];0.646447293724171;-0.403330720491799;-802.502322569699;-0.452368840230946;0.672792291679802;-1.33458983670283;-821.490357977518;-0.336059182518536;59;['Depth', 'WWTP_influence_as_mean_time_travelled__sed_18µm_allseasons_444', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;7;3;2;201;[ 7  8 10 14 21];['S10' 'S11' 'S14' 'S19' 'S26'];0.886914780553693;-3.3038856753681;-1328.35672073395;-1.28382762731853;0.799698304493919;-0.602701390012686;-805.507570363087;-0.439098168385738;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;7;4;1;27;[ 3  4 15 19 22];['S04' 'S06' 'S20' 'S24' 'S27'];0.962582395361591;-0.877208507178943;-615.704569462314;-0.23377377800769;0.756682532291025;-0.424403452182927;-1066.8587482804;-0.484788210247529;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;8;0;4;489;[ 0  4 14 15 18 23];['S01' 'S06' 'S19' 'S20' 'S23' 'S29'];0.758627022446636;-0.303677978659062;-1044.61386228193;-0.134017445619203;0.906068081224827;-0.53538536920199;-732.378940265788;-0.397466036318477;42;['WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;8;1;5;785;[ 2  6  7 11 22];['S03' 'S08' 'S10' 'S15' 'S27'];0.651405235562206;-0.558597747005793;-545.208204833066;-0.468792857873423;0.809796716749574;-1.21788919382587;-729.742746986221;-0.520532149635089;59;['Depth', 'WWTP_influence_as_mean_time_travelled__sed_18µm_allseasons_444', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;8;2;2;256;[ 1 10 12 21 25];['S02' 'S14' 'S16' 'S26' 'S31'];0.868963331246656;-2.63500404767275;-404.168129988676;-0.612124091725159;0.829497532662155;-0.855978718795097;-1019.79464097777;-0.434531076665341;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;8;3;1;218;[ 8 13 16 19 24];['S11' 'S17' 'S21' 'S24' 'S30'];0.879507459438156;-0.90719458577991;-640.215859559081;-0.30714313839194;0.927925310380198;-0.771937076188119;-1113.97881138531;-0.667279101782406;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;8;4;3;452;[ 3  5  9 17 20];['S04' 'S07' 'S13' 'S22' 'S25'];0.77358092382821;-0.596105874940495;-1333.60444473098;-0.282663087056163;0.682519456978729;-1.97309360883642;-1448.21583948475;-0.841280265426844;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;9;0;4;1276;[ 3  4  5  7  9 15];['S04' 'S06' 'S07' 'S10' 'S13' 'S20'];0.3427927614772;-0.776496771372429;-1945.50014489541;-0.44069418099757;0.737249873583403;-1.74017055152929;-1010.25204845754;-0.603744354538371;78;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'SED_D50'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;9;1;3;822;[ 2  6 12 18 19];['S03' 'S08' 'S16' 'S23' 'S24'];0.637784703099688;-1.41329856727675;-1264.92749661258;-0.713036920300212;0.754617728780382;-1.07407198173431;-908.09723403103;-0.491672908863449;59;['Depth', 'WWTP_influence_as_mean_time_travelled__sed_18µm_allseasons_444', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;9;2;2;513;[10 11 13 16 25];['S14' 'S15' 'S17' 'S21' 'S31'];0.749462363189686;-2.23947334606495;-553.0594211402;-0.502372278903904;0.764741916637128;-0.808521029653879;-1136.76704301015;-0.51788332896011;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;9;3;1;406;[ 0  8 14 17 23];['S01' 'S11' 'S19' 'S22' 'S29'];0.790837288309529;-0.543303514005255;-1023.6169437729;-0.289195579320864;0.784292821686313;-0.786756271640947;-860.884192877684;-0.478780432729848;42;['WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
